STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
KARNATAKA,MANDYA,2001,15,1,7,50,0,72,0,145,12.57490181,76.81570099
KARNATAKA,MYSORE COMMR.,2001,2,7,9,8,1,48,0,75,,
KARNATAKA,MYSORE RURAL,2001,12,4,6,79,2,51,0,154,12.24810026,76.52881803
KARNATAKA,RAICHUR,2001,12,5,1,63,4,52,0,137,16.05079535,76.87368606
KARNATAKA,SHIMOGA,2001,12,10,6,65,0,134,0,227,14.06384589,75.17882078
KARNATAKA,TUMKUR,2001,6,4,28,53,0,44,0,135,13.59246776,77.02297966
KARNATAKA,UDUPI,2001,2,0,0,16,2,16,0,36,13.45040423,74.7200999
KARNATAKA,UTTAR KANNADA,2001,4,3,3,27,2,34,0,73,14.53895798,74.35229081
KERALA,ALAPUZHA,2001,21,6,1,162,2,105,0,297,9.542602966,76.38010796
KERALA,CBCID,2001,2,0,0,0,0,4,0,6,,
KERALA,ERNAKULAM,2001,38,7,3,162,3,161,0,374,10.0048793,76.26957729
KERALA,IDUKKI,2001,34,0,0,145,16,127,0,322,9.804809639,77.04586642
KERALA,KANNUR,2001,42,7,0,77,7,157,0,290,11.94152308,75.35209892
KERALA,KASARGOD,2001,28,1,0,0,0,66,0,95,12.3331031,75.07768497
KERALA,KOLLAM,2001,55,9,3,235,0,315,0,617,8.929388821,76.63607759
KERALA,KOTTAYAM,2001,22,12,2,125,8,82,0,251,9.643701174,76.46059673
